txcat,cell,GroupCount,mean_OPP,median_OPP,sem_OPP,std_OPP
0 and 0uM,HeLa eIF4BGFP,687,6419.31776839043,6272.76419139561,71.6482339851506,1877.94928062558
0 and 0uM,HeLa 4B139AGFP,369,5368.00177126467,4984.60296582543,101.095524592504,1941.98161144275
-2 and 0uM,HeLa eIF4BGFP,543,8473.88247323178,7763.38461208033,131.054785117362,3053.88583435461
-2 and 0uM,HeLa 4B139AGFP,631,5890.78251482076,5460.72411164658,86.9790113839704,2184.88783553322
-4 and 0uM,HeLa eIF4BGFP,654,7149.06108877082,6422.52768786333,121.863539648251,3116.46793362661
-4 and 0uM,HeLa 4B139AGFP,696,5032.34597139145,4796.40191784689,67.0389803860752,1768.60977162244
-8 and 0uM,HeLa eIF4BGFP,520,8956.93883232634,8332.85164929046,133.69219033091,3048.6509988596
-8 and 0uM,HeLa 4B139AGFP,526,4507.53886761532,4302.9170278559,70.9841353056697,1627.99912980298
-14 and 0uM,HeLa eIF4BGFP,493,9773.72692336476,9509.65192353518,132.058746447812,2932.1800198982
-14 and 0uM,HeLa 4B139AGFP,395,4276.93493757637,4100.64493964638,71.9449957260149,1429.87850950927
-24 and 0uM,HeLa eIF4BGFP,464,7464.6380493254,7271.32355070764,120.130913624111,2587.69907318992
-24 and 0uM,HeLa 4B139AGFP,523,3746.59433386238,3487.61095819598,61.09452885577,1397.18258704607
0 and 62.5uM,HeLa eIF4BGFP,475,1293.0223781101,1204.38406114065,21.9695616355886,478.815495017095
0 and 62.5uM,HeLa 4B139AGFP,539,1704.14532612201,1383.02691344751,45.6466555418975,1059.7498055695
-2 and 62.5uM,HeLa eIF4BGFP,573,1976.62431518893,1846.76298376086,31.3849429254087,751.27451049071
-2 and 62.5uM,HeLa 4B139AGFP,313,1355.44393205999,1257.36615271996,35.4087623411921,626.444954499166
-4 and 62.5uM,HeLa eIF4BGFP,638,2111.56527104005,2004.8623334229,30.9266529183023,781.165869163003
-4 and 62.5uM,HeLa 4B139AGFP,688,1707.43627650892,1509.58856133809,36.2099462943321,949.77798717344
-8 and 62.5uM,HeLa eIF4BGFP,520,1666.62918697087,1550.59324435889,26.5621107343089,605.70931796042
-8 and 62.5uM,HeLa 4B139AGFP,282,1513.20795699049,1410.0397137281,37.303169036715,626.426731941772
-14 and 62.5uM,HeLa eIF4BGFP,470,1815.13746535415,1749.25024743199,30.511783422136,661.479701859162
-14 and 62.5uM,HeLa 4B139AGFP,562,1402.22530276583,1286.9195756667,24.7407448352254,586.517436834553
-24 and 62.5uM,HeLa eIF4BGFP,327,1429.28511852012,1290.7298136278,30.7459275448921,555.982952809538
-24 and 62.5uM,HeLa 4B139AGFP,526,1303.14978945527,1155.08513485721,26.7871049576474,614.353945049857
0 and 125uM,HeLa eIF4BGFP,530,755.763228874059,678.086107451059,18.1308183034145,417.402783107945
0 and 125uM,HeLa 4B139AGFP,467,848.580537824871,805.855276941212,14.3939450280706,311.055783053477
-2 and 125uM,HeLa eIF4BGFP,634,716.420249468127,677.613900001773,11.3824987207117,286.603994561346
-2 and 125uM,HeLa 4B139AGFP,575,995.280564979502,936.511139205639,17.5281006837758,420.309089015257
-4 and 125uM,HeLa eIF4BGFP,638,875.010261683089,829.785650021797,12.427461631417,313.901051382466
-4 and 125uM,HeLa 4B139AGFP,456,1123.85162046971,1022.45486446939,23.8264295329772,508.793305180214
-8 and 125uM,HeLa eIF4BGFP,635,1468.60291352966,1084.63966837263,38.3968515300344,967.570184385292
-8 and 125uM,HeLa 4B139AGFP,442,1075.1333027334,995.597218125918,24.0211124066412,505.01496793026
-14 and 125uM,HeLa eIF4BGFP,392,603.055684459047,533.448982007581,19.0651533568076,377.470778242883
-14 and 125uM,HeLa 4B139AGFP,461,1291.48489780548,1184.68961285409,34.0178867375172,730.395003363179
-24 and 125uM,HeLa eIF4BGFP,417,538.153163409352,527.826574149977,7.98292773896011,163.015997417543
-24 and 125uM,HeLa 4B139AGFP,319,959.678223657044,877.14083838074,25.1353838918916,448.93231111415
0 and 250uM,HeLa eIF4BGFP,620,402.823617168764,378.389531440787,5.35275842857077,133.282610015988
0 and 250uM,HeLa 4B139AGFP,489,662.974613243162,599.150241858029,12.7635033458343,282.243745077392
-2 and 250uM,HeLa eIF4BGFP,577,388.16996488222,356.725879507697,10.6306837649952,255.357786896423
-2 and 250uM,HeLa 4B139AGFP,405,935.884879216562,856.48921255514,17.425064781604,350.672664276037
-4 and 250uM,HeLa eIF4BGFP,478,446.703943612426,397.36898632386,11.5092457702123,251.629069980385
-4 and 250uM,HeLa 4B139AGFP,418,1081.43015252514,1018.2150746803,21.1056084078874,431.50518330565
-8 and 250uM,HeLa eIF4BGFP,349,505.660550123913,462.496269912776,10.2686528886281,191.834267062349
-8 and 250uM,HeLa 4B139AGFP,492,1119.50726821162,993.602193675952,25.7691036290494,571.586369070839
-14 and 250uM,HeLa eIF4BGFP,632,437.550830002824,412.643473044725,5.79311211297924,145.636580249062
-14 and 250uM,HeLa 4B139AGFP,475,1126.10910376964,1026.91369757294,21.3051460997695,464.334894131326
-24 and 250uM,HeLa eIF4BGFP,502,362.99607363349,332.159700820323,5.9218280466303,132.680668530711
-24 and 250uM,HeLa 4B139AGFP,515,944.383634753905,872.808834550872,15.8413153723808,359.496655693099
